titulo,direccion,barrio,ciudad,moneda,precio,expensas,m2_cubiertos,dormitorios,banos,ambientes,antiguedad,link,pagina
3 ambientes Cramer 2300,Crámer 2300,Belgrano,CABA,ARS,1780000,380000,71.0,2,,,30 años,,17
AV JUAN B JUSTO AL 2300_V CRESPO_ALQUILER 3 AMB+COCINA+LAVADERO_42M2 TOT,Avenida Juan Bautista Justo 2300,Villa Crespo,CABA,ARS,750000,135000,42.0,2,,,65 años,,17
Alquiler MONOAMBIENTE en nuñez,"Avenida Del Libertador 6800, Piso 6",Núñez,CABA,ARS,650000,200000,35.0,1,,,20 años,,17
Alquiler 3 Ambientes Duplex Belgrano Cochera Terraza Seguridad Pileta Sum,José Hernández 2200,Belgrano,CABA,USD,2000,950000,90.0,2,,,20 años,,17
"Excelente S/piso, Frente, Vista Hotel Alvear y Arboleda, Edificio Señorial de Mucho Nivel, Impecable","Ayacucho 2000, Piso 2",Recoleta,CABA,ARS,1050000,630000,100.0,3,,,45 años,,17
Departamento en alquiler en Barrio Norte - Av. Coronel Díaz 1860,Avenida Coronel Díaz 1800,Barrio Norte,CABA,ARS,2000000,212000,110.0,3,,,40 años,,17
"LUMINOSO Y AMPLIO AMBIENTE DIVISIBLE, CON BALCON AL CONTRAFRENTE.","Joaquín V. González 2100, Piso 3",Villa del Parque,CABA,ARS,490000,150000,33.0,,1,,12 años,,17
ARTIGAS AL 2900 - 10 AÑOS CONTRAFRENTE 27 M2 BALCON TERRAZA VISTA ABIERTA TODO SOL,General José Gervasio Artigas 2900,Villa del Parque,CABA,ARS,480000,105000,20.0,,1,,10 años,,17
GRAN AMBIENTE EN NICARAGUA AL 4700 - FRENTE IMPECABLE VISTA ABIERTA TODO SOL,Nicaragua 4700,Palermo,CABA,ARS,600000,110000,26.0,,1,,40 años,,17
Departamento en Almagro,Avenida Hipólito Yrigoyen 3600,Almagro,CABA,ARS,700000,,,1,1,,A Estrenar,,17
Alquiler 1 amb con baño y toilette con amenities,"Avenida Medrano 400, Piso 5",Almagro,CABA,ARS,575000,250000,38.0,,1,,10 años,,18
"3 Amb APTO PROFESIONAL X REGLAMENTO, c/balcón a cfte abierto con Aire Acond y calefacción por Losa Radiante SUPER LUMINOSO ! VEALO!","Bogotá 2300, Piso 4",Flores Norte,Flores,ARS,900000,170000,57.0,2,,,30 años,,18
LINDO Depto. / AMPLIO 2 ambientes / 1er. PISO Al frente / Muy luminoso / A NUEVO,"Felipe Vallese 2900, Piso 1",Flores Norte,Flores,ARS,750000,190000,40.0,1,,,30 años,,18
IMPECABLE DEPARTAMENTO 2 AMBIENTES POR ESCALERA,"Baldomero Fernández Moreno 2600, Piso 2",Flores,CABA,ARS,680000,88000,35.0,1,,,13 años,,18
"2 AMB Y MEDIO CON BALCÓN, PILETA Y LAUNDRY","Bulnes 800, Piso 7",Almagro,CABA,ARS,900000,234000,47.0,1,,2,,,18
ALQUILER DEPARTAMENTO 2 AMBIENTES EN CONGRESO FRENTE CON BALCON - LUMINOSO -,"RIOBAMBA 100, Piso 5",Congreso,CABA,ARS,660000,220000,42.0,1,,,60 años,,18
Departamento en Alquiler 2 Ambientes,"Coronel Ramón Lorenzo Falcón 2900, Piso 5°",Flores,CABA,ARS,800000,120000,38.0,1,,,10 años,,18
Av. Rivadavia al 3900 departamento 2 ambientes en Almagro,Avenida Rivadavia 3900,Almagro,CABA,ARS,700000,120000,38.0,1,,,20 años,,18
"DEPARTAMENTO 2 AMBIENTES - FLORES, CAPITAL FEDERAL","Avenida Directorio 3200, Piso 8",Flores,CABA,ARS,560000,296000,47.0,1,,,10 años,,18
Guardia Vieja 3900 semipiso 3 ambientes con balcon dos cuadras del subte B Estación Medrano,Guardia Vieja 3900,Almagro,CABA,ARS,1000000,270000,75.0,2,,,45 años,,18
Departamento 3 ambientes con cochera y Amenities,"Juana Manso 1300, Piso 6°",Puerto Madero,CABA,USD,1600,790000,84.0,2,,,25 años,,18
Alquiler 4 ambientes destino profesional,Coronel Ramón Lorenzo Falcón 2000,Flores,CABA,ARS,980000,98000,60.0,3,,,70 años,,18
Departamento - Flores,Fray Luis Beltrán 200,Flores,CABA,ARS,500000,100000,26.0,,1,,40 años,,18
2 amb en MARIO BRAVO AL 200 -  Piso ALTO 2 Balcones- EXPENSAS INCLUIDAS,"Mario Bravo 200, Piso 9",Almagro,CABA,ARS,890000,,40.0,1,1,,,,18
ALQUILER 3 AMBIENTES EN VILLA CRESPO,"Padilla 300, Piso 4",Villa Crespo,CABA,ARS,890000,180000,,2,1,,40 años,,18
Alquiler departamento 2 ambientes Flores,Avenida Avellaneda 2000,Flores,CABA,ARS,550000,200000,45.0,1,,,45 años,,18
Departamento en alquiler en Boedo,Inclan 4200,Boedo,CABA,ARS,400000,68000,,,1,1,,,18
SEMIP EN AZCUENAGA AL 1200 - 37 M2 IMPECABLE APTO PROFESIONAL BAÑO Y COCINA COMPLETOS,Azcuénaga 1200,Barrio Norte,CABA,ARS,680000,105000,37.0,1,,,40 años,,18
CONTRATO COMERCIAL PISO 6 AMB. 1º PISO POR ESCALERA SOBRE AVENIDA CON PATIO TERRAZA SOLO COMERCIAL,"Avenida Rivadavia 9000, Piso 1",Villa Luro,CABA,ARS,1300000,,184.0,4,1,,,,18
Excelente 2 ambientes Apto Profesional  PARQUE RIVADAVIA,"Yerbal 100, Piso 5",Caballito,CABA,ARS,700000,103500,40.0,1,1,,,,18
Excelente 2 ambientes Apto Profesional  PARQUE RIVADAVIA,"Yerbal 100, Piso 5",Caballito,CABA,ARS,700000,103500,40.0,1,1,,,,19
EXCELENTE MONOAMBIETE TOTALMENTE AMOBLADO,Coronel Ramón Lorenzo Falcón 2300,Flores Sur,Flores,ARS,630000,,38.0,,1,,12 años,,19
"2 ambientes súper luminoso, con amenities. Muy buen estado","Avenida Nazca 2700, Piso 6°",Villa del Parque,CABA,ARS,790000,110000,36.0,1,1,,,,19
"DEPARTAMENTO EN TORRE 40m2 CUB MAS BALCÓN, AMENITIES, SEGURIDAD 24HS, BELGRANO. E-FURIO.",Ciudad De La Paz 1900,Belgrano,CABA,ARS,500000,450000,40.0,,1,,13 años,,19
Departamento Monoambiente en alquiler - zona Universidades,José Antonio Cabrera 3500,Palermo,CABA,USD,500,150000,33.0,1,,,5 años,,19
Departamento en Barrio Norte,Sánchez De Bustamante 2400,Barrio Norte,CABA,ARS,800000,44000,40.0,1,,,50 años,,19
ZONA FACULTADES. Monoambiente divisible de 40 m² con Lavadero y amplio Balcón!,"Pasteur 700, Piso 2",Balvanera,CABA,ARS,650000,90000,40.0,,1,,A Estrenar,,19
Amplio 2 amb  de 54 m2,Viel 400,Caballito,CABA,ARS,700000,160000,54.0,1,,,48 años,,19
Monoambiente en alquiler,"Hortiguera 200, Piso 1",Caballito,CABA,ARS,500000,74270,,,1,1,,,19
Departamento en Caballito,Eleodoro Lobos  al 200,Caballito,CABA,ARS,1400000,360000,80.0,3,,,45 años,,19
Hermoso monoambiente con balcón a pulmón de manzana,"Juan F. Aranguren 1800, Piso 1°",Caballito Norte,Caballito,ARS,600000,170000,31.0,,,1,17 años,,19
TRES AMBIENTES CON PATIO,Avenida Santa Fe 4900,Palermo Hollywood,Palermo,ARS,1200000,200000,70.0,2,,,54 años,,19
Departamento - Alquiler - 2 ambientes - 2 Cocheras - Baulera - Puerto Madero - La Porteña Residences,Martha Salotti 400,Puerto Madero,CABA,USD,4000,,165.0,2,,,8 años,,19
Departamento en alquiler en Flores,"Avenida Juan Bautista Alberdi 2800, Piso 5",Flores,CABA,ARS,500000,110000,,,1,1,,,19
Monoambiente amoblado. Súper luminoso. Excelente zona,Avenida Del Libertador 700,Recoleta,CABA,ARS,650000,180000,28.0,,1,1,,,19
ALQUILER 2 AMBIENTES APTO PROFESIONAL CABALLITO – IDEAL CONSULTORIOS / ESTÉTICA,"Avenida Avellaneda 400, Piso PB",Caballito,CABA,ARS,700000,150000,50.0,1,,,45 años,,19
Departamento alquiler Quartier Oro Cervino 4502 -4 ambientes vista río 2 cocheras amenities,Avenida Cerviño 4500,Palermo,CABA,USD,2900,,130.0,3,,,25 años,,19
DEPARTAMENTO DE 3 AMBIENTES EN MUY BUENA UBICACIÓN.,"Avenida Nazca 3100, Piso 6",Villa del Parque,CABA,ARS,790000,170000,55.0,2,,,40 años,,19
DEPARTAMENTO A PASOS DE Av SANTA FE,"Agüero 1200, Piso 7",Recoleta,CABA,ARS,600000,145000,33.0,1,,,50 años,,19
Impecable dos ambientes con patio - Luminoso-A media cuadra Parque Rivadavia,"Doblas 100, Piso PB",Caballito,CABA,ARS,850000,150000,,1,1,2,,,19
DEPARTAMENTO 2 AMBIENTES EN ALQUILER | EXCELENTE UBICACIÓN EN CABALLITO !,"Avenida La Plata 100, Piso 6",Caballito,CABA,ARS,590000,110000,45.0,1,,,45 años,,20
"Departamento  en Alquiler en Capital Federal, Buenos Aires, Argentina",Reconquista 900,Retiro,CABA,ARS,1300000,240000,,2,1,,A Estrenar,,20
Recoleta 3 ambientes Pacheco de Melo y Sanchez de Bustamante,Sánchez De Bustamante 2300,Recoleta,CABA,ARS,950000,292000,60.0,2,,,70 años,,20
Departamento en Flores,Avenida Gaona 2700,Flores,CABA,ARS,695000,,45.0,1,,,40 años,,20
Alquila depto de 2 ambientes con la mejor ubicacion en Recoleta,Azcuénaga 1000,Recoleta,CABA,ARS,550000,200000,42.0,1,,,50 años,,20
ALQUILER - 2 AMBIENTES - EXCELENTE ESTADO - SEGURO DE FIANZA,"San José De Calasanz 100, Piso 6",Caballito,CABA,ARS,800000,190000,40.0,1,,,,,20
"3 Amb. cocina y lavadero amplio, super luminoso, 1 cuadra de Cabildo y Congreso, Subte linea D.","Ciudad De La Paz 3000, Piso 8",Belgrano,CABA,ARS,1300000,200000,68.0,2,1,,,,20
Alquiler Departamento 2 Ambientes ZONA PLAZA IRLANDA,"Avenida Teniente General Donato Álvarez 800, Piso 5",Flores Norte,Flores,ARS,700000,200000,,1,1,2,,,20
ALMAGRO 2 amb  52 mts fte bcon tza edificio categoria amenities,"Teniente General Juan Domingo Perón 3400, Piso 8",Almagro,CABA,ARS,1200000,220000,40.0,1,,,35 años,,20
4 AMB C/DEP. I DUPLEX EN 9° y 10° PISO I M/LUM. I 2BALCONES,Doctor Tomás Manuel De Anchorena 1700,Recoleta,CABA,ARS,2400000,529550,128.0,4,,,45 años,,20
Espacioso 2 ambientes con doble balcón,"José De Sucre 2800, Piso 11",Belgrano,CABA,ARS,830000,145000,33.0,1,1,,,,20
Bacacay 967,"Bacacay 900, Piso 6",Caballito,CABA,ARS,600000,140000,32.0,,1,,11 años,,20
MONOAMBIENTE EN ALQUILER EN CABALLITO SOBRE CACHIMAYO,"Cachimayo 100, Piso 8",Caballito,CABA,ARS,550000,90000,28.0,,1,1,,,20
ALQUILER 3 AMBIENTES 61M2 CON BALCON,"Ruiz Huidobro 2200, Piso 1°",Núñez,CABA,ARS,1650000,,61.0,2,,,A Estrenar,,20
LUMINOSO AMBIENTE CON BALCÓN TERRAZA EN EXCELENTE UBICACION,"General Enrique Martínez 1200, Piso 7",Belgrano R,Belgrano,ARS,590000,113000,25.0,,1,,,,20
Alquiler 3 Amb Contra Frente en Caballito Excelente Ubicacion,"Guayaquil 100, Piso 2",Caballito,CABA,ARS,800000,250000,,2,1,3,,,20
"DEPTO DE 2AMB. 4º PISO AL FRENTE, de aprox 48Mts, EN MUY BUEN ESTADO Y MUY LUMINOSO","Billinghurst 1300, Piso 4",Palermo,CABA,ARS,800000,200000,44.0,1,,,45 años,,20
MONOAMBIENTE SUPER LUMINOSO CON BALCON PARRILLA PILETA,Don Bosco 3800,Almagro,CABA,ARS,650000,150000,31.0,,1,,15 años,,20
"OPORTUNIDAD: MONO a estrenar, calidad, vista, súper luminoso.","Vidal 1900, Piso 8",Belgrano,CABA,USD,550,130000,31.0,,1,,A Estrenar,,20
"Azcuenaga al 0| Balvanera | Depto. 2 amb, amplio y luminoso! A metros de Av. Rivadavia | Alquiler",Azcuénaga 100,Balvanera,CABA,ARS,500000,243000,38.0,1,,,45 años,,20
Dueño Alquila Excelente Departamento 2 amb en Belgrano,"Amenábar 2000, Piso 8",Belgrano C,Belgrano,ARS,700000,150000,37.0,1,,,30 años,,21
Departamento en Alquiler - 2 Amb - Muy Luminoso - Disponible a partir de Julio,Avenida Santa Fe 5000,Palermo Hollywood,Palermo,ARS,660000,130000,29.0,1,,,45 años,,21
"2 ambientes con sol pleno, balcón y amenities","Mexico 800, Piso 3",Monserrat,CABA,ARS,950000,180000,50.0,1,,,7 años,,21
3 Ambientes c/ Dep. al Frente c/ Balcon,Moreno 1600,Balvanera,CABA,ARS,850000,250000,67.0,2,,,70 años,,21
Departamento en Monserrat,Moreno 1700,Monserrat,CABA,ARS,500000,80000,25.0,,1,,50 años,,21
Dto 3 amb con lavadero separado  -excelente estado- muy luminoso-  EXCELENTE UBICACION,Rio De Janeiro 200,Caballito,CABA,ARS,900000,200000,56.0,2,,,40 años,,21
Departamento en Saavedra,Conesa 4500,Saavedra,CABA,ARS,600000,200000,38.0,,1,,A Estrenar,,21
Departamento en alquiler en Villa del Parque,Nazarre 2800,Villa del Parque,CABA,ARS,1200000,210000,74.0,1,,,,,21
Depto 2 Amb alquiler en Saavedra dueño,"Mariano Acha 4400, Piso 2",Saavedra,CABA,ARS,590000,140000,42.0,1,1,,,,21
DUEÑO ALQUILA  PISO AL FRENTEA EXTRENAR  SIN EXPENSAS,"Fraga 1800, Piso 2",Villa Ortuzar,CABA,ARS,1150000,,,1,1,,A Estrenar,,21
Hermoso 2 ambientes en Alquiler - Muy luminoso - Villa Urquiza,"Galvan 3000, Piso 3",Villa Urquiza,CABA,ARS,900000,170000,42.0,1,,,8 años,,21
1 ambiente con Balcón | Villa Urquiza DOHO | Donado 2652,Donado 2600,Villa Urquiza,CABA,ARS,750000,103000,34.0,,1,,A Estrenar,,21
2amb frente balcon,"Talavera 5800, Piso 3",Villa Urquiza,CABA,ARS,750000,154000,40.0,1,,,16 años,,21
Departamento 3 ambientes en alquiler en Villa Urquiza,"Ceretti 2600, Piso 4",Villa Urquiza,CABA,ARS,1500000,200000,68.0,2,,,,,21
Alquiler 2 ambientes Belgrano Colegiales,Vidal 1500,Belgrano,CABA,ARS,800000,125000,45.0,1,,,,,21
Semipiso 3 amb contrafrente con balcon,"Senillosa 900, Piso 4°",Caballito,CABA,ARS,1400000,,60.0,2,,,20 años,,21
Excelente dos ambientes al frente con balcon terraza - Super luminoso y amplio,"Colpayo 100, Piso 8",Primera Junta,Caballito,ARS,900000,263000,,,,,,,21
2 AMBIENTES MUY LUMINOSO RECIEN PINTADO 2 CUADRAS CABILDO SUBTE,Amenábar 2200,Belgrano,CABA,ARS,630000,,,1,1,2,,,21
VIGILANCIA - 2 BAÑOS - BALCON - COCINA con COMEDOR DIARIO,"Moreno 800, Piso 3",Monserrat,CABA,ARS,1200000,360000,80.0,3,2,,,,21
Departamento de 4 Ambientes en Almagro,"Potosi 4400, Piso 7",Almagro Norte,Almagro,ARS,1480000,260000,67.0,3,,,,,21
ECUADOR Y AV. PUEYRREDON - CONTRAFRENTE IMPECABLE V/ABIERTA TODO SOL,ECUADOR Y AV. PUEYRREDON 7°,Balvanera,CABA,ARS,800000,150000,45.0,2,,,40 años,,22
MONOAMBIENTE ESPACIOSO CONTRATO POR 2 AÑOS,"Doctor Pedro Ignacio Rivera 4900, Piso 2",Villa Urquiza,CABA,ARS,650000,130000,33.0,,1,1,,,22
"COQUETO DOS AMB, TODO LUZ, EN EL CORAZÓN DE PALERMO SOHO","Julián Álvarez 1800, Piso 3",Palermo,CABA,ARS,700000,130000,40.0,1,,,40 años,,22
Alquiler 3 amb. al frente con cochera (opcional),"Vidal 2200, Piso 2",Belgrano,CABA,ARS,1300000,282000,72.0,2,,,60 años,,22
Semipiso de 4 Amb con 3 Dorm. en Alquiler en Belgrano C,"José De Sucre 2300, Piso 7",Belgrano C,Belgrano,ARS,2500000,400000,110.0,3,,,50 años,,22
Excelente 2 amb lateral impecable estado,"ENRIQUE LINCH ARRIBALZAGA 4400, Piso 5",Floresta,CABA,ARS,550000,75000,35.0,1,1,,,,22
Departamento de 4 Ambientes en Almagro,"Potosi 4400, Piso 7",Almagro Norte,Almagro,ARS,1480000,260000,67.0,3,,,,,22
Federico García Lorca Departamento 2 ambientes en alquiler en Caballito,Federico García Lorca 100,Caballito,CABA,ARS,700000,180000,51.0,1,,,30 años,,22
AMBIENTE.APTO PROF. BAJAS EXPENSAS. BALCÓN CON LAVADERO.LUMINOSO.BAJAS EXPENSAS.,"Franklin Delano Roosevelt 2300, Piso 5",Belgrano,CABA,ARS,600000,100000,29.0,,1,1,,,22
Alquiler Monoambiente Villa Crespo Luminoso Pileta Balcon,Coronel Apolinario Figueroa 100,Villa Crespo,CABA,ARS,780000,140000,39.0,,,1,,,22
Lujoso departamento en puerto madero Torre El Faro,Avenida Eduardo Madero 1200,Puerto Madero,CABA,USD,5500,3400000,230.0,2,4,,,,22
2 Ambientes muy buen estado!,Virrey Arredondo 2400,Belgrano,CABA,ARS,650000,195000,36.0,1,1,,,,22
C/DEP EN PUEYRREDON Y CORDOBA - T/AL FRENTE EN ESQUINA BALCON VISTA PANOR TODO SOL,AV. PUEYRREDON Y AV. CORDOBA 9°,Barrio Norte,CABA,ARS,900000,278000,76.0,2,,,40 años,,22
2 ambientes | Alquiler Belgrano | Piso alto con cochera,Arce 500,Las Cañitas,Palermo,ARS,1300000,310000,49.0,1,,,25 años,,22
MONO COCINA SEPARADA  BALCON  EN ALQUILER  SI ESTA PUBLICADO ESTA VIGENTE,"Coronel Ramón Lorenzo Falcón 4000, Piso 1",Floresta,CABA,ARS,550000,95000,31.0,,1,,40 años,,22
"Departamento 2 ambientes, Palermo",Jorge Luis Borges 2300,Palermo,CABA,ARS,750000,143000,35.0,1,,,20 años,,22
MONOAMBIENTE CONTRAFRENTE MUY LUNINOSO,"Bogotá 2300, Piso 1",Flores Norte,Flores,ARS,530000,,30.0,,1,,50 años,,22
Departamento 3 amb por escalera alquiler en Caballito,Isidoro Demaría 900,Caballito,CABA,ARS,850000,,49.0,2,,,30 años,,22
Excelente alquiler departamento 2AMBIENTES en pleno Palermo. Impecable.,"Jorge Luis Borges 2400, Piso 2",Botánico,Palermo,ARS,800000,157000,51.0,1,,,45 años,,22
ALQUILER DEPARTAMENTO 2 AMBIENTES EN CAÑITAS AMPLIO CON PISCINA,"Jose Ortega Y Gasset 1800, Piso 5",Las Cañitas,Palermo,ARS,860000,425000,70.0,1,,,15 años,,22
ALQUILER DEPARTAMENTO 2 AMBIENTES EN CAÑITAS AMPLIO CON PISCINA,"Jose Ortega Y Gasset 1800, Piso 5",Las Cañitas,Palermo,ARS,860000,425000,70.0,1,,,15 años,,23
"Diaz Velez al 3700 - Depto 3 amb. en alquiler, Barrio de Almagro - Excelente estado!",Avenida Díaz Vélez 3700,Almagro,CABA,ARS,1000000,155000,68.0,2,,,60 años,,23
"Alquiler departamento 2 ambientes en Palermo amoblado, con amenities y cochera",Ciudad De La Paz 100,Palermo,CABA,ARS,1000000,300000,45.0,1,,,6 años,,23
Monoambiente divisible,Moreno 3600,Almagro,CABA,ARS,450000,90000,30.0,,,1,40 años,,23
Monoambiente al frente con balcón -  luminoso - 4 Cuadras facultada de Veterinaria - A Profesional,"Ricardo Gutiérrez 2600, Piso 2",Villa del Parque,CABA,ARS,550000,80000,32.0,,,,4 años,,23
¡Imperdible! 3 Ambientes con Balcón Aterrazado en Alquiler,"Roque Pérez 2500, Piso 8",Coghlan,CABA,ARS,1500000,220000,47.0,2,,,2 años,,23
ARTIGAS AL 2900 - 10 AÑOS FRENTE 32 M2 BALCON,General José Gervasio Artigas 2900,Villa del Parque,CABA,ARS,580000,125000,30.0,1,,,10 años,,23
SUIPACHA Y AV. CORDOBA - 35 M2 IMPECABLE APTO PROFESIONAL,SUIPACHA Y AV. CORDOBA 4°,Barrio Norte,CABA,ARS,400000,190000,35.0,,1,,40 años,,23
"Departamento en alquiler amoblado TODO INLCUIDO EN EL VALOR PUBLICADO -internet , abl , , Aysa, wifi ,Netflix , gas y luz , excepto expensas  .","Andonaegui 1200, Piso PB",Parque Chas,CABA,USD,700,195000,,1,1,,,,23
DEPARTAMENTO 4 AMB FRENTE LIVING COM COC COM Y LAV BAÑO COCH,Miranda 4400,Monte Castro,CABA,ARS,1200000,260000,100.0,3,,,50 años,,23
4 ambientes reciclado a nuevo | Alquiler Belgrano |,3 De Febrero 2100,Belgrano Barrancas,Belgrano,ARS,1850000,392000,92.0,3,,,50 años,,23
MONOAMBIENTE - 39 M2 - FTE C/BALCON  -  APTO PROF - CON GUARDA MOTO o BICI - LUNDRY -SUM-TZA,"Paez 2100, Piso 2",Flores Norte,Flores,ARS,650000,110000,36.0,,1,,4 años,,23
Departamento- 2 ambientes,Villarroel 1000,Villa Crespo,CABA,ARS,1000000,,51.0,1,,,A Estrenar,,23
ALQUILER DE DOS AMBIENTES CON COCHERA CUBIERTA A PASOS DE AV. CRAMER Y EL CANO,"Virrey Del Pino 2800, Piso 1",Belgrano R,Belgrano,ARS,1200000,250000,43.0,1,,,6 años,,23
Excelente monoambiente con balcón.-,Avenida Directorio 3300,Flores Norte,Flores,ARS,590000,89000,28.0,1,1,,,,23
Excelente 2 amb con balcón frente a Plaza Irlanda.-,Avenida Teniente General Donato Álvarez 900,Flores Norte,Flores,ARS,690000,202000,48.0,1,1,,,,23
"Luminoso monoambiente en alquiler con balcón , ubicado en pleno Palermo Soho.",Paraguay 4800,Palermo Soho,Palermo,ARS,750000,270000,34.0,,1,,12 años,,23
1 AMB  CON COCHERA SUPER LUMINOSO,"Holmberg 2400, Piso 1",Coghlan,CABA,ARS,700000,175000,32.0,,1,,10 años,,23
2 amb con balcón. Amplio y luminoso. A mts de Avda Cabildo.,"Juana Azurduy 2300, Piso 3°",Núñez,CABA,ARS,750000,138100,40.0,1,1,,,,23
URIARTE Y AV. SANTA FE - FRENTE 30 M2 TODO SOL,Uriarte 2400,Palermo,CABA,ARS,500000,179500,30.0,1,,,40 años,,23
2 amb con balcón. Amplio y luminoso. A mts de Avda Cabildo.,"Juana Azurduy 2300, Piso 3°",Núñez,CABA,ARS,750000,138100,40.0,1,1,,,,24
URIARTE Y AV. SANTA FE - FRENTE 30 M2 TODO SOL,Uriarte 2400,Palermo,CABA,ARS,500000,179500,30.0,1,,,40 años,,24
SEMIPISO EN CABRERA AL 2900 - COCHERA FRENTE BALCON TODO SOL TODO EXTERNO,José Antonio Cabrera 2900,Barrio Norte,CABA,ARS,1000000,250000,65.0,2,,,40 años,,24
ALQUILER DE DEPTO 3 AMB COHGLAN,"Avenida Melián 2500, Piso 13",Coghlan,CABA,ARS,1100000,520000,60.0,2,1,,,,24
Departamento en alquiler en Coghlan,"Franklin Delano Roosevelt 3600, Piso PB",Coghlan,CABA,ARS,450000,,,,,,,,24
"HERMOSO 2 AMB MONTE CASTRO,  LUMINOSO IMPECABLE, PRECIO EN PAQUETE INCLUYE EXPENSAS- ABL Y AYSA","Miranda 4600, Piso 9",Monte Castro,CABA,ARS,700000,,36.0,1,,,,,24
"Av. PUEYRREDON 2100, 3 AMB , MUY  LUIMINOSO , PISO 5.","Avenida Pueyrredón 2100, Piso 5°",Recoleta,CABA,ARS,1600000,320000,59.0,2,,,25 años,,24
Departamento en alquiler en Villa Crespo,"Avenida Corrientes 5900, Piso 1",Villa Crespo,CABA,ARS,1300000,400000,90.0,3,,,,,24
HERMOSO DEPARTAMENTO DE DOS AMBIENTES AL FRENTE. TODO LUZ.,"Superí 2100, Piso 1",Belgrano R,Belgrano,ARS,750000,180000,45.0,1,,,50 años,,24
Alquiler Dueño Directo – Monoambiente Premium en Saavedra,"Nuñez 3300, Piso 1",Saavedra,CABA,ARS,700000,280000,35.16,,,,2 años,,24
ALQUILER 3 AMBIENTES PALERMO,Uriarte 2100,Palermo,CABA,ARS,1400000,181000,60.0,2,,,30 años,,24
Guemes 3300 DIVISIBLE  edificio con piscina,"General Güemes 3300, Piso 1°",Palermo,CABA,ARS,580000,150000,31.0,,1,1,,,24
DOS AMB AL FRENTE AMPLIO,"Paraguay 3900, Piso 1",Palermo,CABA,ARS,650000,180000,42.0,1,,,45 años,,24
"Frente, todo luz y sol , 51m2 2 baños","Sarandí 400, Piso 3",Congreso,CABA,ARS,650000,195000,51.0,1,,,55 años,,24
3 amb muy luminoso piso 10 al frente,Constitucion 1900,San Cristóbal,CABA,ARS,750000,200000,65.0,2,1,,,,24
DOS AMBIENTES - Juan B Justo y Santa Fe,"Avenida Santa Fe 4800, Piso 12",Palermo,CABA,ARS,750000,85000,40.0,1,,,40 años,,24
ALQUILER – DEPARTAMENTO 2 AMBIENTES EN DEVOTO,"Quevedo 3200, Piso 3",Barrio San Pedro,Villa Devoto,ARS,850000,86000,36.0,1,,,,,24
"MONOAMB TODO LUZ NATURAL, HERMOSO BALCÓN, A MTS SUBTE ""B""","Behring 2500, Piso 3",Villa Urquiza,CABA,ARS,600000,120000,30.0,,1,,9 años,,24
Amplio 3 Ambientes en Alquiler / Congreso,"Avenida Rivadavia 2000, Piso 12",Congreso,CABA,ARS,850000,214000,60.0,2,1,,,,24
Departamento  monoambiente en Villa Devoto,"Av. Francisco Beiro 4200, Piso 2",Barrio San Pedro,Villa Devoto,ARS,650000,200000,30.0,,1,,14 años,,24
Departamento  monoambiente en Villa Devoto,"Av. Francisco Beiro 4200, Piso 2",Barrio San Pedro,Villa Devoto,ARS,650000,200000,30.0,,1,,14 años,,25
Departamento en Almagro,Hipolito Irigoyen al 3400,Almagro,CABA,ARS,900000,200000,60.0,2,,,50 años,,25
ALQUILER 2 AMB DEPTO PLANTA BAJA!,Avenida Corrientes 1600,San Nicolás,CABA,ARS,500000,110000,23.0,,1,,45 años,,25
"Alquiler Piso, 3 ambientes",T. Vilardebó 2100,Villa del Parque,CABA,ARS,1300000,310000,58.0,2,2,,,,25
DEPARTAMENTO 2 AMBIENTES EN PALERMO,"Aráoz 2400, Piso 4",Botánico,Palermo,ARS,750000,120000,34.0,1,,,35 años,,25
EXCELENTE DEPARTAMENTO DE 4 AMBIENTES,"Rodríguez Peña 800, Piso 9",San Nicolás,CABA,ARS,1750000,298900,,3,2,,67 años,,25
2 ambientes muy luminosos en el corazón de Palermo Soho,"Malabia 1600, Piso 6",Palermo Soho,Palermo,ARS,590000,185000,40.0,1,,,40 años,,25
Departamento 3 Ambientes Alquiler en Villa Urquiza,"La Pampa 5000, Piso 8°",Villa Urquiza,CABA,ARS,1550000,250000,60.0,2,2,,,,25
ALQUILER SEMIPISO 3 AMBIENTES COCHERA CUBIERTA VILLA URQUIZA,"Bauness 1900, Piso 6°",Villa Urquiza,CABA,ARS,1650000,325000,65.0,2,2,,,,25
ALQUILER SEMIPISO 4 AMBIENTES A ESTRENAR CON BALCÓN Y PATIO,Avenida General Mosconi 3600,Villa Devoto,CABA,ARS,2600000,,94.0,3,,,A Estrenar,,25
"1 ½ ambiente, contra frente, balcon, apto profesional. ACEPTA MASCOTA",Ayacucho 200,Congreso,CABA,ARS,520000,248000,,,1,1,20 años,,25
2 ambientes amoblado - Palermo - Alquiler,Lafinur 2900,Palermo Chico,Palermo,ARS,850000,160000,30.0,1,,,45 años,,25
"Excelente 2 Ambientes con Patio y Cochera, Todo a Nuevo, en Caballito","Paysandú 500, Piso 1",Caballito Norte,Caballito,ARS,1200000,135000,45.0,1,,,5 años,,25
2 ambientes luminoso - Palermo - Alquiler,"Ugarteche 3100, Piso 7°",Palermo Chico,Palermo,ARS,750000,98000,30.0,1,,,45 años,,25
