titulo,direccion,barrio,ciudad,moneda,precio,expensas,m2_cubiertos,dormitorios,banos,ambientes,antiguedad,link,pagina
Maravilloso Dos Ambientes con Balcón Aterrazado en Palermo,"Fitz Roy 1400, Piso 7",Palermo Hollywood,Palermo,USD,1100,298000,65.0,1,,,14 años,,3
ALQUILER 3 AMBIENTES PALERMO,Uriarte 2100,Palermo,CABA,ARS,1400000,181000,60.0,2,,,30 años,,3
Av Santa Fe 3800 - Departamento de 2 ambientes en Palermo,Avenida Santa Fe 3800,Palermo Soho,Palermo,ARS,650000,115000,38.0,1,,,56 años,,3
Hermoso semipiso de 4 ambientes con 2 baños en Palermo -A pasos de La Rural y el Rosedal - Excelente zona - Listo para habitar,Fray Justo Santa María De Oro 2700,Palermo,CABA,ARS,1550000,450000,80.0,3,1,,,,3
Departamento 4 ambientes con cochera fija - Super Luminoso,"General Lucio Norberto Mansilla 3700, Piso 3",Palermo Soho,Palermo,ARS,1300000,380000,85.0,3,,,35 años,,3
Departamento - Las Cañitas,Arce 500,Las Cañitas,Palermo,ARS,590000,125000,29.0,,1,,9 años,,3
SAN BENITO DE PALERMO AL 1600 - COCHERA IMPECABLE BALCON V/ABIERTA TODO SOL AMENITIES,San Benito De Palermo 1600,Las Cañitas,Palermo,ARS,1000000,307571,33.0,1,,,23 años,,3
DUEÑO DIRECTO 3 AMBIENTES PISO ALTO SEMIPISO OPCIONAL COCHERA,Gualeguaychú 900,Floresta,CABA,ARS,1200000,200000,,2,1,,10 años,,3
IDEAL DIPLOMATICOS O EJECUTIVO EXTRANJERO,3 De Febrero 1900,Belgrano,CABA,USD,2500,1100000,178.0,3,3,,,,3
Ideal Diplomatico o Ejecutivo Extranjero,CUBA Y MCAL SUCRE,Belgrano,CABA,USD,2500,,,2,2,3,,,3
3 amb en Palermo,"Charcas 3300, Piso 1",Palermo,CABA,ARS,950000,230000,45.0,2,1,,,,3
Departamento en alquiler en Recoleta. Av. Córdoba y Junin. Al frente. Super Luminoso  Apto profesional,"Avenida Córdoba 2000, Piso 7",Recoleta,CABA,ARS,700000,250000,47.0,1,,,,,3
"2 ambientes con sol pleno, balcón y amenities","Mexico 800, Piso 3",San Telmo,CABA,ARS,950000,180000,50.0,1,,,7 años,,3
Departamento en alquiler en Belgrano R,Capitán General Ramón Freire 2400,Belgrano R,Belgrano,ARS,1000000,450000,55.0,1,,,,,3
Departamento en alquiler en Primera Junta,"Avenida Juan Bautista Alberdi 2300, Piso 6",Caballito,CABA,ARS,700000,280000,42.0,1,,,10 años,,3
Departamento en alquiler en Primera Junta,"Avenida Juan Bautista Alberdi 2300, Piso 6",Caballito,CABA,ARS,700000,280000,42.0,1,,,10 años,,4
"Amplio departamento en alquiler totalmente amueblado con gran terraza propia y cochera, Palermo.",Concepción Arenal 3600,Palermo Hollywood,Palermo,USD,3500,170000,120.0,2,,,20 años,,4
"Palermo 2 hermosos ambientes. Todo Frente, Living a balcón corrido. Lavadero externo.Cocina amplia c/muebles bajo y sobre mesada. AA frio calor. Dos deptos por piso. A 1 cuadra Uni. Palermo.Baño Compto. BAJAS EXPENSAS. Dormitorio c/piso flotante.","Bulnes 1300, Piso 3",Palermo Viejo,Palermo,ARS,850000,138000,40.0,1,,,25 años,,4
Yerbal 0  Departamento de 3 ambientes con dependencia y balcón  Caballito,"Yerbal 0, piso 7",Caballito,CABA,ARS,1270000,190000,66.0,2,,,49 años,,4
Muñiz al 300 - Departamento 2 ambientes con balcón y cochera fija cubierta,"Muñiz 379, piso  12° al frente",Caballito,CABA,ARS,950000,305000,43.0,1,,,30 años,,4
Av. La Plata 200 - Monoambiente con cocina independiente y baño completo - Caballito,Avenida La Plata 200,Caballito Sur,Caballito,ARS,650000,99000,30.0,,1,,40 años,,4
Av. La Plata al 200 - Departamento de 2 ambientes en alquiler,Avenida La Plata 200,Caballito Sur,Caballito,ARS,600000,124000,35.0,1,,,50 años,,4
Semipiso Exclusivo Recoleta Vista al Río,"Riobamba 1200, Piso 15",Recoleta,CABA,USD,6500,1200000,,4,3,5,,,4
2 ambientes grandes al frente con balcon,"Parral 200, Piso 1",Caballito,CABA,ARS,650000,215000,45.0,1,1,,,,4
ALQUILER DEPARTAMENTO 4 AMBIENTES CON DEPENDENCIA COCHERA BAULERA MUY LUMINOSO,Zapiola 2600,Belgrano,CABA,ARS,1500000,420000,98.0,3,,,42 años,,4
ALQUILER Excelente monoambiente en Palermo,Beruti 4400,Palermo,CABA,ARS,650000,173000,32.0,1,,,5 años,,4
Dueño  alquila en Recoleta,"Avenida Presidente Manuel Quintana 500, Piso 15",Recoleta,CABA,ARS,1600000,,100.0,2,,,50 años,,4
MONOAMBIENTE C/BALCÓN EN BELGRANO,Doctor Rómulo Naón 2300,Belgrano R,Belgrano,ARS,650000,,27.0,,1,,10 años,,4
DEPTO 2 AMBIENTES CON COCHERA - BELGRANO,Avenida Olazábal 2700,Belgrano,CABA,ARS,890000,,46.0,1,,,45 años,,4
MONOAMBIENTE con GYM y PILETA – BELGRANO,Avenida Olazábal 2600,Belgrano,CABA,ARS,700000,190000,30.0,,1,,A Estrenar,,4
ALQUILER 2 AMBIENTES A ESTRENAR CON COCHERA- BELGRANO,Crámer 2300,Belgrano,CABA,USD,1100,,40.0,1,,,A Estrenar,,4
3 ambientes con cochera,La Pampa 1200,Belgrano,CABA,USD,1400,,75.0,2,,,22 años,,4
Colpayo 40 - Departamento de dos ambientes con balcón en dormitorio - Caballito,Colpayo 100,Caballito,CABA,ARS,650000,140000,36.0,1,,,35 años,,4
ORTEGA Y GASSET AL 1600 - 33 M2 IMPECABLE,Jose Ortega Y Gasset 1600,Las Cañitas,Palermo,ARS,600000,177000,33.0,1,,,40 años,,4
Departamento en alquiler en Las Cañitas super luminoso,"Jorge Newbery 1700, Piso 3",Las Cañitas,Palermo,ARS,1300000,260000,,1,1,,30 años,,4
Alquilo Dto. 1 ambiente a nuevo,"M Ugarte 1500, Piso 4",Belgrano,CABA,ARS,580000,80000,25.0,,1,,30 años,,5
BENJAMIN MATIENZO AL 1600 - CONTRAFRENTE 32 M2 IMPECABLE BALCON TODO SOL APTO PROFESIONAL,Teniente Benjamín Matienzo 1600,Las Cañitas,Palermo,ARS,600000,210000,32.0,,1,,40 años,,5
Charcas al 2600 | Barrio Norte | Departamento de 2 ambientes | Alquiler,Charcas 2600,Barrio Norte,CABA,ARS,680000,161378,31.0,1,,,56 años,,5
"Monoambiente a estrenar balcón. Barrio Norte, Amenities Seg.",Gallo 1200,Barrio Norte,CABA,ARS,700000,169000,30.0,,1,,A Estrenar,,5
"Hermoso Monoambiente de categoria A ESTRENAR,  Palermo.","Paraguay 4600, Piso 4",Palermo,CABA,ARS,850000,130000,35.0,,,,A Estrenar,,5
AMOBLADO. ALQUILER: $ 680.000 ó U$S 480. Expensas: $ 130.000.,"Charcas 4000, Piso 3",Barrio Norte,CABA,ARS,680000,130000,38.0,1,,,35 años,,5
Alquiler MONOAMBIENTE en nuñez,"Avenida Del Libertador 6800, Piso 3",Núñez,CABA,ARS,650000,200000,35.0,1,,,20 años,,5
"Balcón, Vigilancia, Lavadero. Aire Acondicionado, Pileta, Gym","Congreso 2300, Piso 2",Núñez,CABA,ARS,830000,317000,45.0,1,,,25 años,,5
Departamento en L.De Nuñez,Nunez 2400,Lomas de Núñez,Núñez,USD,2300,590000,87.0,3,,,12 años,,5
FULL AMENITIES - PISO ALTO - TORRE LAS PLAZAS - ALQUILER 3 AMBIENTES PALERMO - COCHERA,Silvio L. Ruggieri 2900,Palermo Chico,Palermo,USD,1800,400000,65.0,2,,,5 años,,5
Piscina - Monoambiente - Alquiler Departamento en Las Cañitas Palermo,Avenida Luis María Campos 300,Las Cañitas,Palermo,ARS,690000,190000,38.0,1,,,5 años,,5
Piso 4 Ambientes con Cochera y Dependencia en Belgrano R,La Pampa 1900,Belgrano R,Belgrano,ARS,2200000,750000,135.0,3,2,,,,5
Departamento 2 ambientes amoblado en alquiler - Palermo,"Fray Justo Santa María De Oro 2800, Piso 7",Palermo,CABA,USD,1100,450000,50.0,1,1,,,,5
Departamento 2 ambientes - Caballito,Avenida Juan Bautista Alberdi 200,Caballito,CABA,ARS,590000,147000,40.0,1,,,40 años,,5
Departamento de tres ambientes en alquiler,"Suipacha 900, Piso 12",Plaza San Martín,Barrio Norte,ARS,880000,280000,,2,1,3,,,5
EXCELENTE¡  3 AMB AL FRENTE  CON COCHERA FIJA CUBIERTA,"Avenida Del Libertador 6700, Piso 5",Núñez,CABA,ARS,1200000,390000,60.0,2,,,40 años,,5
Departamento 3 amb. en alquiler en Belgrano con balcón al frente y cochera,"Vidal 1500, Piso 2",Belgrano,CABA,ARS,1200000,210000,,2,1,,35 años,,5
ALQUILO  DEPARTAMENTO 3 AMB. EXCELENTE UBICACION Y ESTADO. SOY DUEÑA DIRECTA,Laprida 2000,Recoleta,CABA,ARS,890000,120000,50.0,2,,,50 años,,5
"Belgrano 2 Ambientes fte, Balcón, Piscina, Parrilla, Laundry",Blanco Encalada 2700,Belgrano,CABA,ARS,950000,250000,,1,1,2,,,5
COLPAYO AL 600 - IMPECABLE AIRE ACONDICIONADO,Colpayo 600,Caballito,CABA,ARS,550000,87581,28.0,1,,,40 años,,5
GRAN MONOAMBIENTE DIVISIBLE - PUEYRREDON Y CHARCAS,Avenida Pueyrredón 1200,Barrio Norte,CABA,ARS,850000,200000,52.0,1,,,6 años,,6
"Palermo – Dueño Alquila- Excelente 3 ambientes reciclado, balcón, seguridad 24 hs y ubicación privilegiada",Fray Justo Santa María De Oro 2400,Palermo,CABA,ARS,1200000,,60.0,2,,,25 años,,6
"SUM, PARRILLA, PISCINA Y LAUNDRY EN LAS CAÑITAS PALERMO - COCHERA OPCIONAL $200.000",Soldado De La Independencia 1300,Las Cañitas,Palermo,ARS,750000,280000,36.0,1,,,10 años,,6
"¡Oportunidad! Monoambiente  luminoso , con pileta  en Barrancas de Belgrano!","Virrey Loreto 2200, Piso 8",Belgrano Barrancas,Belgrano,ARS,629900,200000,30.0,1,,,,,6
DUEÑO DIRECTO ALQUILA DEPTO 2 AMB BELGRANO C,"Mendoza 2000, Piso 5",Belgrano C,Belgrano,ARS,750000,161000,,1,1,2,,,6
Departamento en alquiler en Recoleta,Jose Leon Pagano 2600,Recoleta,CABA,ARS,800000,170000,,1,1,,40 años,,6
EXCELENTE 3 AMB.CON DEPENDENCIA AL CFTE.,Federico García Lorca 100,Primera Junta,Caballito,ARS,1100000,397276,78.0,2,2,,,,6
Departamento 4 ambientes-San Telmo,"Avenida Belgrano 400, Piso 2º",San Telmo,CABA,ARS,1400000,460000,,3,1,4,,,6
Departamento en alquiler - San Telmo,"Defensa 400, Piso 4º",San Telmo,CABA,ARS,815000,,,1,1,2,,,6
2 Ambientes | Alquiler en Belgrano | Excelente ubicación,Cespedes 2500,Belgrano,CABA,ARS,780000,170000,37.0,1,,,35 años,,6
2 Ambientes Impecable / Las Cañitas / Cerca de Bosques de Palermo,Jose Ortega Y Gasset 1600,Las Cañitas,Palermo,ARS,490000,195000,33.0,1,,,50 años,,6
Flores (Granaderos 57) Departamento monoamb amplio con balcón,"Granaderos 100, Piso 2",Flores,CABA,ARS,690000,140000,,,1,1,10 años,,6
2 amb amoblado 24 meses Belgrano,"Vidal 2200, Piso 7",Belgrano,CABA,ARS,1200000,169700,41.0,1,,,35 años,,6
2 amb luminoso en Recoleta,"Arenales 3000, Piso 8",Recoleta,CABA,ARS,700000,170000,,1,1,2,,,6
Alquiler de departamento 2 ambientes en el barrio de Caballito!,Yerbal 600,Caballito,CABA,ARS,550000,75000,33.0,1,,,50 años,,6
"Palermo 55m, Frente, Edificio con Vigilancia 24 hs y Servicios",General Güemes 4700,Palermo Soho,Palermo,ARS,900000,330000,,,1,1,12 años,,6
MONOAMBIENTE LUMINOSOS CONTRAFRENTE APTO PROFESIONAL,"Lambaré 900, Piso 12",Almagro,CABA,ARS,430000,115000,,,,1,40 años,,6
Caballito 2amb con balcon terraza -  a 1 cuadra de Universidad Maimonides,"Avenida Doctor Honorio Pueyrredón 800, Piso 2",Cid Campeador,Caballito,ARS,880000,220000,44.0,1,,,,,6
Departamento UN amb al FRENTE en SAN CRISTOBAL -Súper LUMINOSO-,Av. Juan de Garay (esquina Matheu),San Cristóbal,CABA,ARS,450000,75000,,1,1,1,,,6
Semipiso 3 Ambientes. Al Contrafrente con vista abierta y LUMINOSO   APTO PROFESIONAL,"Avenida Álvarez Thomas 2900, Piso 7",Villa Urquiza,CABA,ARS,1290000,390000,57.0,2,,,,,6
2 amb luminoso en Recoleta,"Arenales 3000, Piso 8",Recoleta,CABA,ARS,700000,170000,,1,1,2,,,7
"Monoambiente a estrenar balcón, Amenities Seg. Almagro",Gallo 1200,Almagro,CABA,ARS,700000,169000,30.0,,1,,A Estrenar,,7
Alquiler de departamento 2 ambientes en el barrio de Caballito!,Yerbal 600,Caballito,CABA,ARS,550000,75000,33.0,1,,,50 años,,7
MONOAMBIENTE LUMINOSOS CONTRAFRENTE APTO PROFESIONAL,"Lambaré 900, Piso 12",Almagro,CABA,ARS,430000,115000,,,,1,40 años,,7
Caballito 2amb con balcon terraza -  a 1 cuadra de Universidad Maimonides,"Avenida Doctor Honorio Pueyrredón 800, Piso 2",Cid Campeador,Caballito,ARS,880000,220000,44.0,1,,,,,7
Departamento UN amb al FRENTE en SAN CRISTOBAL -Súper LUMINOSO-,Av. Juan de Garay (esquina Matheu),San Cristóbal,CABA,ARS,450000,75000,,1,1,1,,,7
Semipiso 3 Ambientes. Al Contrafrente con vista abierta y LUMINOSO   APTO PROFESIONAL,"Avenida Álvarez Thomas 2900, Piso 7",Villa Urquiza,CABA,ARS,1290000,390000,57.0,2,,,,,7
Excelente Departamento en alquiler en Belgrano,"Av Cabildo 3300, Piso 6",Belgrano,CABA,ARS,950000,200000,48.0,1,,,,,7
"TRES AMBIENTES  AL FRENTE CON BALCON ,LUMINOSO ,VISTA PANORAMICA","Panama 900, Piso 12",Almagro,CABA,ARS,850000,260000,57.0,,1,,,,7
DOS AMBIENTES CON PATIO SIN MASCOTAS,"Humahuaca 4600, Piso 1",Almagro,CABA,ARS,500000,155000,35.0,1,,,30 años,,7
Departamento en Caballito,General Martín De Gainza 500,Caballito,CABA,ARS,660000,375000,45.0,1,,,17 años,,7
ALQUILER 2 AMB CON COCHERA EN BAJO BELGRANO - LIVING AL FRENTE Y DORMITORIO AL CONTRAFRENTE,Avenida Del Libertador 5600,Belgrano,CABA,ARS,1500000,450000,60.0,1,,,20 años,,7
TORRE FULL AMENITIES - PISO 21 - ESTRENAR - 4 DORMITORIOS c/ 2 COCHERAS - ALQUILER BELGRANO,Crámer 1700,Belgrano R,Belgrano,USD,4000,,200.0,4,,,3 años,,7
TORRE FULL AMENITIES - PISO 21 - ESTRENAR - 4 DORMITORIOS c/ 2 COCHERAS - ALQUILER BELGRANO,Crámer 1700,Belgrano R,Belgrano,USD,4000,,200.0,3,,,3 años,,7
DEPARTAMENTO MUY LUMINOSO MEDRANO 57,"Avenida Medrano 100, Piso 8",Almagro,CABA,ARS,550000,96760,,,,1,,,7
Departamento 2 Ambientes Amoblado - Excelente Ubicación (Plaza Serrano),Serrano 1300,Palermo Soho,Palermo,ARS,1200000,180000,45.0,1,,,,,7
Excelente 3 Ambientes Frente c/ Balcón Corrido en Once,"Valentín Gómez 2700, Piso 6",Once,CABA,ARS,800000,223250,60.0,2,,,,,7
Amplio monoambientes en RECOLETA. Juncal y Libertad.,"Juncal 1100, Piso 3",Recoleta,CABA,ARS,600000,80000,25.0,,1,,70 años,,7
"Monoambiente luminoso en Palermo, Plaza Güemes","General Lucio Norberto Mansilla 3800, Piso 9",Palermo,CABA,ARS,550000,100000,,,1,1,,,7
Excelente 2 ambientes al frente,"Ciudad De La Paz 3000, Piso 5",Belgrano,CABA,ARS,850000,406000,55.0,1,,,15 años,,7
EXCELENTE 5 AMBIENTES CON DEPENDENCIA y COCHERA,José Hernández 2000,Belgrano,CABA,USD,3500,850000,230.0,4,2,,,,8
Departamento en alquiler en Recoleta. 2 ambientes con balcón aterrazado.  Amueblado y equipado Ideal matrimonio jóven o estudiantes,"Talcahuano 1200, Piso 1",Recoleta,CABA,USD,500,150000,37.0,1,1,,,,8
"Alquiler, deparatameto 2 ambientes,  Caballito",Rosario 400,Caballito,CABA,ARS,700000,114000,42.0,1,,,50 años,,8
Alquiler 2 ambientes Belgrano Luminoso Balcon,Avenida Del Libertador 5600,Belgrano,CABA,ARS,1000000,450000,45.0,1,,,15 años,,8
Departamento 3 Ambientes con Cochera y Amenities,"Avenida Cerviño 4700, Piso 9",Palermo Nuevo,Palermo,ARS,3400000,600000,85.0,2,,,,,8
"EXCELENTE 2 AMBIENTES C/FTE, CON BALCON, BAÑO Y TOILLETTE","Virrey Olaguer Y Feliú 2400, Piso 7",Belgrano,CABA,ARS,790000,220000,48.0,1,,,40 años,,8
Dúplex con terraza propia y vista abierta en pleno Palermo Hollywood,"Arévalo 2200, Piso 7",Palermo Hollywood,Palermo,USD,1000,438000,70.0,1,,,15 años,,8
Departamento de dos ambientes alquiler - Servicios incluidos,"Rio De Janeiro 300, Piso 1",Caballito,CABA,ARS,750000,,,1,1,2,,,8
Excelente 2 amb grandes contrafrente abierto con balcon corrido lavadero en cocina,"Costa Rica 4400, Piso 1",Palermo Hollywood,Palermo,ARS,720000,230000,60.0,1,1,,,,8
1 ambiente con cochera y amenitis,Laprida 1100,Recoleta,CABA,ARS,890000,290000,34.0,1,,,10 años,,8
ALQUILER - Palermo- Monoambiente dividido con balcón,Bonpland 2300,Palermo Hollywood,Palermo,ARS,700000,250000,34.0,1,,,,,8
Divino contrafrente vista verde!,Franklin Delano Roosevelt 2900,Belgrano,CABA,ARS,680000,128000,34.0,,,1,,,8
Belgrano Blanco Encalada al 3000 piso 5° con Amenities Alquiler Monoambiente,Blanco Encalada 3000,Belgrano,CABA,ARS,630000,138000,32.0,,1,,,,8
Billinghurst al 1500 3 ambientes Recoleta balcon corrido,Billinghurst 1500,Palermo,CABA,ARS,1050000,260000,54.0,2,,,50 años,,8
2 AMBIENTES LATERAL EN ALQUILER,"Gascon 600, Piso 2",Almagro,CABA,ARS,480000,180000,35.0,1,,,45 años,,8
Av. La Plata al 100 - Dos ambientes en piso 23 con vista panorámica y mucha luminosidad - Caballito,Avenida La Plata 100,Caballito Sur,Caballito,ARS,750000,141000,45.0,1,,,55 años,,8
Departamento en Caballito,Cangallo 100,Caballito,CABA,ARS,1100000,311000,55.0,2,,,40 años,,8
Departamento en alquiler 2 amb. en Palermo Hollywood,"Darregueyra 2100, Piso 5",Palermo Hollywood,Palermo,ARS,870000,230000,58.0,1,,,,,8
Departamento Dúplex en alquiler en Palermo Soho,Gorriti 4400,Palermo Soho,Palermo,ARS,1550000,325000,64.0,2,,,5 años,,8
Semipiso en alquiler en Palermo,"General Lucio Norberto Mansilla 3600, Piso 4",Palermo,CABA,ARS,950000,180000,50.0,1,1,,,,8
Departamento en alquiler en Palermo,"Aráoz 2300, Piso 3",Palermo,CABA,ARS,800000,180000,35.0,1,,,40 años,,9
Dueño directo sin comisión | Monoambiente luminoso con balcón en Palermo Hollywood,"Angel Carranza 1300, Piso 2",Palermo Hollywood,Palermo,ARS,649000,110000,30.0,,,1,,,9
2 amb Excelente por estado y ubicacion mts rivadavia y subte,"Don Bosco 3700, Piso 5°",Almagro Norte,Almagro,ARS,640000,110000,40.0,1,,,40 años,,9
